PeakID (cmd=annotatePeaks.pl /Volumes/Bioinfo_Ext/16185R/Analysis/Diffbind/practice.txt dm6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
2R.23380750.23388046	chr2R	23380750	23388046	+	3713.13306671237	0.0428603686971559	promoter-TSS (NM_166597)	promoter-TSS (NM_166597)	915	NR_124713	19835531		NR_124713		CR44784	Dmel\CR44784	ncRNA	ncRNA
3R.26460672.26466112	chr3R	26460672	26466112	+	3702.9791349825	0.329830480555896	intron (NM_143224, intron 1 of 6)	intron (NM_143224, intron 1 of 6)	1865	NM_143224	43196	Dm.1344	NM_143224		CG5455	CT17296|Dmel\CG5455	CG5455	protein-coding
3R.4802408.4809222	chr3R	4802408	4809222	+	3698.55957969828	0.291950311091718	intron (NM_001202241, intron 1 of 11)	intron (NM_001202241, intron 1 of 11)	648	NM_001202245	40596		NM_141239		ctrip	CG14656|CG17735|CG42574|CTRIP|Dmel\CG42574|Dmel_CG14656|Dmel_CG17735	circadian trip	protein-coding
3R.24029845.24035169	chr3R	24029845	24035169	+	3697.30034180101	0.205688219664196	promoter-TSS (NM_001170238)	promoter-TSS (NM_001170238)	350	NM_142947	42844	Dm.13317	NM_142947		Ime4	CG5933|Dmel\CG5933|IME4|MTA70|Mta70|ime4	Inducer of meiosis 4	protein-coding
3R.5246491.5252666	chr3R	5246491	5252666	+	3696.77126939793	0.0772523896144447	intron (NM_169033, intron 1 of 5)	intron (NM_169033, intron 1 of 5)	2167	NM_169034	40628	Dm.7315	NM_141264		CG12163	Dmel\CG12163|anon-WO0118547.305	uncharacterized protein	protein-coding
X.2347989.2359019	chrX	2347989	2359019	+	3693.98559126048	0.198969836640873	intron (NM_001258559, intron 1 of 3)	intron (NM_001258559, intron 1 of 3)	764	NM_166938	44529	Dm.1828	NM_080022		CG2841	Dmel\CG2841|EG:BACH48C10.5|ptr	CG2841	protein-coding
2L.13096917.13102441	chr2L	13096917	13102441	+	3691.31365240344	0.140335612704648	Intergenic	Intergenic	2685	NR_124228	19835395		NR_124228		CR45447	Dmel\CR45447	ncRNA	ncRNA
2R.22241756.22245554	chr2R	22241756	22245554	+	3687.87324347062	0.108793869609059	promoter-TSS (NM_057894)	promoter-TSS (NM_057894)	-308	NM_057894	37546	Dm.4765	NM_057893		dve	CG5799|DVE|Dmel\CG5799|Dve|Dve-s|SATB1|dep|l(2)01738	defective proventriculus	protein-coding
2L.104319.111056	chr2L	104319	111056	+	3684.32983904387	0.0800884598086689	promoter-TSS (NM_001272862)	promoter-TSS (NM_001272862)	-74	NM_164361	48552	Dm.7020	NM_080184		Sam-S	CG2674|Dmel\CG2674|M(2)21A-B|M(2)21AB|METK|SamS|Sams|Su(z)5|m(2)21ab	S-adenosylmethionine Synthetase	protein-coding
X.19518884.19523666	chrX	19518884	19523666	+	3680.96822873308	0.408492108202751	promoter-TSS (NM_001201742)	promoter-TSS (NM_001201742)	529	NM_001272776	32940	Dm.222	NM_133160		l(1)G0156	CG12233|Dmel\CG12233|FBgn0031024|l (1) G0156	lethal (1) G0156	protein-coding
2L.19451962.19456492	chr2L	19451962	19456492	+	3680.95218256349	0.0735258907678864	promoter-TSS (NM_001273652)	promoter-TSS (NM_001273652)	-29	NM_165301	35226	Dm.473	NM_136124		CG10026	Dmel\CG10026	uncharacterized protein	protein-coding
3L.3069652.3074272	chr3L	3069652	3074272	+	3678.89344649452	0.44768600537717	promoter-TSS (NM_001104018)	promoter-TSS (NM_001104018)	-585	NM_167975	38369	Dm.831	NM_139510		CG11486	Dmel\CG11486|PAN3	uncharacterized protein	protein-coding
3L.11006754.11011450	chr3L	11006754	11011450	+	3673.94793469474	0.75986344643913	promoter-TSS (NM_057714)	promoter-TSS (NM_057714)	86	NM_001300095	39228	Dm.4755	NM_057714		klu	CG12296|Dmel\CG12296|KLU|Klu|P09036|l(3)09036|l(3)10052	klumpfuss	protein-coding
3R.7944799.7952783	chr3R	7944799	7952783	+	3672.10009758798	-0.0588103023809125	intron (NM_001275423, intron 2 of 4)	intron (NM_001275423, intron 2 of 4)	13995	NM_079548	40940	Dm.3308	NM_079548		dsx	CG11094|DSX|Dmdsx|Dmel\CG11094|Dsx|Hr|dsxF|dsxM|ix-62c	doublesex	protein-coding
3L.3076033.3084257	chr3L	3076033	3084257	+	3669.48553010572	0.0958185047380194	intron (NM_139510, intron 3 of 14)	intron (NM_139510, intron 3 of 14)	-1423	NM_167984	38369	Dm.831	NM_139510		CG11486	Dmel\CG11486|PAN3	uncharacterized protein	protein-coding
X.15709205.15714301	chrX	15709205	15714301	+	3665.57769088708	0.602879355971243	promoter-TSS (NM_132831)	promoter-TSS (NM_132831)	696	NM_001298358	32509	Dm.25588	NM_132830		CG15601	Dmel\CG15601	uncharacterized protein	protein-coding
2L.14991794.14998815	chr2L	14991794	14998815	+	3664.76142693742	0.493547909022488	intron (NM_135889, intron 1 of 7)	intron (NM_135889, intron 1 of 7)	2255	NM_001042898	34872	Dm.3630	NM_135889		mol	35Bb|B1|BG:DS01219.1|CG15268|CG4482|Dmel\CG4482|Mol|NIP|br3|l(2)35Bb|l(2)SH1330|l(2)SH2 1330|l(2)br23|l(2)br3|l35Bb|nip	moladietz	protein-coding
X.5704123.5708885	chrX	5704123	5708885	+	3661.18431997864	0.383366408740602	intron (NM_132019, intron 6 of 11)	CpG-19514	7023	NM_001297976	31491	Dm.31073	NM_176685		CG33080	CG15774|CG15775|CG3141|Dmel\CG33080	uncharacterized protein	protein-coding
3R.9744973.9749237	chr3R	9744973	9749237	+	3660.78555981144	0.115846823752625	promoter-TSS (NM_001104258)	promoter-TSS (NM_001104258)	401	NM_141679	41187	Dm.17048	NM_141679		CG12948	Dmel\CG12948	uncharacterized protein	protein-coding
3L.20434346.20441991	chr3L	20434346	20441991	+	3660.69535963983	-0.0406856541383451	TTS (NM_168857)	TTS (NM_168857)	-1432	NR_125017	19836123		NR_125017		CR45176	Dmel\CR45176	ncRNA	ncRNA
3R.15240962.15247781	chr3R	15240962	15247781	+	3660.66999843436	0.231086326158737	exon (NM_176503, exon 1 of 1)	exon (NM_176503, exon 1 of 1)	115	NM_176503	41840	Dm.1206	NM_079632		Hsc70-4	BAP74|Bap74|CG4264|Dmel\CG4264|E(csp)1545|E(nd)195|HSC-70|HSC4|HSC70|HSC70-4|Hsc-4|Hsc-70-4|Hsc4|Hsc4p|Hsc70|Hsp-c4|Hsp70|Q3KN45_DROME|anon-WO0118547.237|bs17d06.y1|chr3R:11070155..11070315|dHSP70|dHsp70|dhsc70|hsc4|hsc70|hsc70-4|hsp70|i190|l(3)03550|l(3)L3929|l(3)j7A4|mtHsp 70|scd	Heat shock protein cognate 4	protein-coding
3R.15371235.15376183	chr3R	15371235	15376183	+	3658.11522851286	-0.0460382078957441	promoter-TSS (NM_001170149)	promoter-TSS (NM_001170149)	-926	NM_169653	41880		NM_169652		Rbp	CG14867|CG31302|CG43073|CG5143|CG5152|DRBP|Dmel\CG43073|Dmel_CG14867|Dmel_CG31302|RBP|drbp|rbp	RIM-binding protein	protein-coding
2R.17455601.17464049	chr2R	17455601	17464049	+	3655.11264884666	0.130311586868474	promoter-TSS (NM_137370)	promoter-TSS (NM_137370)	-773	NM_137370	36964	Dm.11614	NM_137370		CG14478	BEST:LD13441|Dmel\CG14478|GENE 4|gene 4	uncharacterized protein	protein-coding
3R.29197591.29203564	chr3R	29197591	29203564	+	3654.21818129729	0.252001687404153	intron (NM_143789, intron 1 of 2)	CpG	123	NM_143789	46391	Dm.11354	NM_143789		CG11899	39C10S|Dmel\CG11899|ESTS:39C10S|Ov8|anon-sts29	uncharacterized protein	protein-coding
3R.8921904.8933744	chr3R	8921904	8933744	+	3648.41176517492	0.179534303981851	intron (NM_170646, intron 1 of 13)	intron (NM_170646, intron 1 of 13)	4072	NM_170646	41062	Dm.7093	NM_057349		pyd	CG11782|CG11962|CG12409|CG31349|CG43140|CG9729|CG9731|CG9763|CT36877|DZO-1|Dmel\CG43140|Dmel_CG31349|Dmel_CG9731|Pch|Pyd|Pyd/ZO-1|Tamou|ZO-1|ZO1|dzo-1|pyd(Z01)|tam|xvt	polychaetoid	protein-coding
2R.16853848.16859030	chr2R	16853848	16859030	+	3644.60841061412	0.234528620207493	promoter-TSS (NM_143801)	promoter-TSS (NM_143801)	-203	NM_143801	47906	Dm.20293	NM_143801		Dek	CG593|CG5935|DEK|Dmel\CG5935|EG:EG0003.6|anon-WO0172774.191|anon-WO0172774.192|anon-WO0172774.194|dDEK|dek|l(2)04154|l(2)k09907|lincRNA.S2954	Dek	protein-coding
3L.15951897.15960416	chr3L	15951897	15960416	+	3644.52725897859	0.146998089920246	promoter-TSS (NM_140559)	promoter-TSS (NM_140559)	-394	NM_140559	39735	Dm.972	NM_140559		elgi	CG17033|Dmel\CG17033|Nrdp1|dNrdp1	early girl	protein-coding
2L.7036309.7044458	chr2L	7036309	7044458	+	3641.88732573318	0.41054025550675	intron (NM_080765, intron 1 of 5)	intron (NM_080765, intron 1 of 5)	-1976	NM_001258998	45683	Dm.7402	NM_080765		milt	CG13777|CG31630|CG43227|Dmel\CG43227|Dmel_CG13777|Dmel_CG31630|Milt|anon-WO0153538.19|l(2)k04704	milton	protein-coding
X.11680588.11688257	chrX	11680588	11688257	+	3632.48224421944	0.455319193177269	intron (NM_001272526, intron 3 of 4)	CpG	5452	NM_078573	32119	Dm.7342	NM_078573		bif	Bif|CG1822|Dmel\CG1822	bifocal	protein-coding
3R.11884925.11889457	chr3R	11884925	11889457	+	3631.85524713189	0.39632261351055	promoter-TSS (NM_141869)	promoter-TSS (NM_141869)	-23	NM_141869	41438	Dm.13686	NM_141869		mthl5	CG6965|Dmel\CG6965|Gia|Mth-5|Mthl5|anon-WO0170980.70|anon-WO0170980.71	methuselah-like 5	protein-coding
2L.521869.525246	chr2L	521869	525246	+	3624.39392987666	0.147654645908318	promoter-TSS (NM_001272900)	promoter-TSS (NM_001272900)	91	NM_057432	33225	Dm.4716	NM_057432		ush	CG2762|Dmel\CG2762|FOG|USH|Ush|ZFPM2|dFOG|l(2)19|u-sh|ushaped	u-shaped	protein-coding
3R.8745253.8749705	chr3R	8745253	8749705	+	3623.08777901398	0.383717832117438	promoter-TSS (NM_001260064)	promoter-TSS (NM_001260064)	196	NM_206462	41044	Dm.4969	NM_141570		CG9801	Dmel\CG9801	CG9801	protein-coding
X.14210430.14219553	chrX	14210430	14219553	+	3622.55178754891	0.555182880170058	intron (NM_167396, intron 1 of 2)	intron (NM_167396, intron 1 of 2)	2576	NM_167396	32373	Dm.4249	NM_132719		l(1)G0007	CG1375|CG1405|CG32604|Dmel\CG32604|EP764|EP784|Prp16|cg1405|l(1)G0028|l(1)G0103|l(1)G0176|l(1)G0308|l(1)G0416|l(1)G0476|l(1)G0491|prp16	lethal (1) G0007	protein-coding
3R.29483669.29493994	chr3R	29483669	29493994	+	3621.30387893495	0.155611451076445	promoter-TSS (NM_143436)	promoter-TSS (NM_143436)	434	NM_001276139	43471	Dm.12683	NM_143435		CG2321	Dmel\CG2321	CG2321	protein-coding
2R.15734291.15739358	chr2R	15734291	15739358	+	3617.13893052783	0.540388993289849	exon (NM_137212, exon 3 of 7)	exon (NM_137212, exon 3 of 7)	1328	NM_001299537	36736		NM_137212		CG30089	CG12305|CG12966|CG12967|Dmel\CG30089	uncharacterized protein	protein-coding
X.11439990.11449757	chrX	11439990	11449757	+	3615.22564281833	0.480240001079936	exon (NM_167286, exon 2 of 2)	exon (NM_167286, exon 2 of 2)	1696	NM_132489	32089	Dm.13443	NM_132489		Sk1	CG1747|Dmel\CG1747|SK1|Sphk1	Sphingosine kinase 1	protein-coding
3R.4475316.4480744	chr3R	4475316	4480744	+	3614.88829892007	0.236335929677854	intron (NM_001275326, intron 1 of 8)	intron (NM_001275326, intron 1 of 8)	819	NM_169008	326148	Dm.21128	NM_141217		CG31523	CG9798|Dmel\CG31523	uncharacterized protein	protein-coding
2R.23414869.23422952	chr2R	23414869	23422952	+	3613.44610057063	0.127684853536955	intron (NM_001299837, intron 2 of 5)	intron (NM_001299837, intron 2 of 5)	684	NM_001299837	37709		NM_137949		CG9812	BcDNA:RH38235|Dmel\CG9812	CG9812	protein-coding
X.2154569.2160059	chrX	2154569	2160059	+	3611.21209791786	0.896323341239781	exon (NM_080303, exon 2 of 8)	exon (NM_080303, exon 2 of 8)	-1412	NM_166931	31187		NM_080303		wapl	C204|CG3707|Dmel\CG3707|EG:87B1.2|N2|RNA D|RNAD|Wapl|l(1)2Dd|l(1)2Df|l(1)C204|l(1)N2|l(1)N5[72]|l74|pasc|wap	wings apart-like	protein-coding
2R.18608261.18615847	chr2R	18608261	18615847	+	3604.58360765794	0.331398034648788	promoter-TSS (NM_001274146)	promoter-TSS (NM_001274146)	-277	NM_001274146	37134	Dm.4578	NM_137499		GEFmeso	CG18430|CG30115|CG5503|Dmel\CG30115	Guanine nucleotide exchange factor in mesoderm	protein-coding
2R.22060110.22069162	chr2R	22060110	22069162	+	3603.06507893207	0.254593800243818	intron (NM_137788, intron 1 of 2)	CpG	-2247	NM_001299774	19834761		NM_001299774		CG44249	65K|CG11478|CG30327|CG42257|Dmel\CG44249|cg11478	uncharacterized protein	protein-coding
2R.17543610.17549722	chr2R	17543610	17549722	+	3602.71240847006	0.518665836284657	TTS (NM_079049)	TTS (NM_079049)	796	NM_079050	36985	Dm.669	NM_079050		RpL18A	CG6510|Dmel\CG6510|L18|L18A|L18a|RPL18a|RpL18a|anon-EST:Posey75	Ribosomal protein L18A	protein-coding
2R.6745067.6752804	chr2R	6745067	6752804	+	3601.23664794842	0.141927898752995	promoter-TSS (NM_206030)	promoter-TSS (NM_206030)	-292	NM_165487	35584	Dm.5955	NM_136389		Eb1	BcDNA.LD08743|BcDNA:LD08743|CG3265|Dm EB1|DmEB1|Dmel\CG3265|EB-1|EB1|S(DmcycE[JP])2.5|anon-EST:Liang-2.33|anon-EST:Liang-2.52|clone 2.33|clone 2.52|dEB-1|dEB1|dEb1|eb1|l(2)04524|l(2)4524	Eb1	protein-coding
3L.8119864.8130351	chr3L	8119864	8130351	+	3592.30368298358	-0.192273930013108	promoter-TSS (NM_144401)	promoter-TSS (NM_144401)	25	NM_144401	59151	Dm.11991	NM_144401		mRpL36	BcDNA:GM01757|CG18767|Dmel\CG18767	mitochondrial ribosomal protein L36	protein-coding
3R.31058318.31062928	chr3R	31058318	31062928	+	3591.18307799776	0.766355684343127	5' UTR (NM_079863, exon 1 of 3)	5' UTR (NM_079863, exon 1 of 3)	587	NM_001276203	43673	Dm.1901	NM_079863		dco	0538/13|0915/10|1396/02|1447/01|1460/09|CG2048|CK1delta/epsilon|CK1epsilon|CKIepsilon|DBT|DBT/CK1epsilon|DCO|DCO/CKIe|Dbt|Dco|Dco/CK1|Dmel\CG2048|ck1epsilon|dCKIepsilon|dbt|dco-1|ddbt|l(3)S053813|l(3)S144701|l(3)dco|l(3)dco-1|l(3)discs overgrown|l(3)discs overgrown-1|l(3)j3B9|l(3)rK215	discs overgrown	protein-coding
2L.16814846.16822991	chr2L	16814846	16822991	+	3590.89282246772	0.294330072175713	intron (NM_206002, intron 1 of 9)	intron (NM_206002, intron 1 of 9)	1810	NM_206002	44887	Dm.5403	NM_135969		mdy	CG13273|CG17937|CG17938|CG31991|CT39962|DGAT|DGAT1|Dgat1|Dmel\CG31991|Mdy|mdcds_3562	midway	protein-coding
3R.30038991.30049379	chr3R	30038991	30049379	+	3588.69940444118	-0.037871705098553	exon (NM_079842, exon 1 of 1)	exon (NM_079842, exon 1 of 1)	844	NM_079842	43572	Dm.1914	NM_079842		Sry-delta	CG17958|Dmel\CG17958|EH8|Sry delta|Srydelta|anon-EH8|sry|sry delta|sry-delta|srydelta	Serendipity delta	protein-coding
2R.12977657.12981721	chr2R	12977657	12981721	+	3588.06950513015	0.546834050226993	intron (NM_001299439, intron 1 of 4)	intron (NM_001299439, intron 1 of 4)	969	NM_001299439	36431	Dm.2703	NM_079001		Psc	49Ea|CG3886|D-Bmi|Dmel\CG3886|PSC|Psc1|Su(z)2-C|dPSC|l(2)49Ea|l(2)Psc|l(2)vr14|psc|vr14	Posterior sex combs	protein-coding
3L.16110520.16114887	chr3L	16110520	16114887	+	3586.48098171661	0.30596080596471	promoter-TSS (NM_001144486)	promoter-TSS (NM_001144486)	-77	NM_001274995	39764	Dm.1856	NM_140582		Zn72D	CG5215|Dmel\CG5215|ZN72D|l(3)72Dk|zn72D	Zinc-finger protein at 72D	protein-coding
2R.21711173.21716603	chr2R	21711173	21716603	+	3583.3761406687	0.404940949863498	promoter-TSS (NM_166480)	promoter-TSS (NM_166480)	-248	NM_166480	37481	Dm.7318	NM_166479		HmgD	CG17950|Dm-HMG-D100|Dmel\CG17950|HMG D|HMG-D|HMG-D100|HMG1|HMGD|Hmg-D|anon-EST:Liang-1.9|clone 1.9|dHMG-D|hmg-D|hmgd	High mobility group protein D	protein-coding
2L.13017888.13031407	chr2L	13017888	13031407	+	3582.3057132848	-0.145600862913084	exon (NM_001273499, exon 7 of 7)	exon (NM_001273499, exon 7 of 7)	-3335	NM_135754	34700	Dm.10785	NM_135754		A16	CG9933|Dmel\CG9933	A16	protein-coding
3R.24292891.24300882	chr3R	24292891	24300882	+	3577.87720578048	0.506117646087587	intron (NM_001260355, intron 1 of 13)	intron (NM_001260355, intron 1 of 13)	1808	NM_001043286	42896	Dm.2365	NM_079756		crb	0509/20|1384/04|CG6383|CRB|CT19912|Crb|Crbs|Crumbs|DmCrb|Dmel\CG6383|crumb|far|l(3)07207|l(3)S050920|l(3)S058104|l(3)j1B5	crumbs	protein-coding
3R.14816416.14821753	chr3R	14816416	14821753	+	3572.38019972164	0.0617267811258184	exon (NM_001014624, exon 1 of 7)	exon (NM_001014624, exon 1 of 7)	-1138	NM_001014623	3346167	Dm.16866	NM_001014622		btsz	BcDNA:GH06647|Btsz|CG14858|CG17304|CG18280|CG31306|CG33555|CG44012|CG7343|Dmel\CG44012|Dmel_CG17304|Dmel_CG33555|Granulophilin|l(3)10418	bitesize	protein-coding
2R.18397005.18402657	chr2R	18397005	18402657	+	3570.03118922191	0.111037653333657	promoter-TSS (NM_137481)	promoter-TSS (NM_137481)	345	NM_137480	37107	Dm.5821	NM_137480		GstE2	CG17523|DmGSTE2|Dmel\CG17523|GSTE2|gste2	Glutathione S transferase E2	protein-coding
2L.15034965.15040265	chr2L	15034965	15040265	+	3567.91622830077	0.448732708263352	exon (NM_078846, exon 3 of 3)	exon (NM_078846, exon 3 of 3)	1246	NM_080199	49424	Dm.1622	NM_080199		CIAPIN1	B|BG:DS00929.9|CG4180|D-CIAPIN1|D1|Dmel\CG4180|anon-35Ba|br26|l(2)35Bg|l(2)br26	Cytokine induced apoptosis inhibitor 1	protein-coding
3R.22364281.22370068	chr3R	22364281	22370068	+	3567.22805607008	-0.0500760552422316	promoter-TSS (NM_170004)	promoter-TSS (NM_170004)	-15	NM_142772	42619	Dm.13730	NM_142772		CG5380	Dmel\CG5380	CG5380	protein-coding
3R.23468205.23473514	chr3R	23468205	23473514	+	3561.81673441212	0.518364399486542	intron (NM_142889, intron 1 of 3)	intron (NM_142889, intron 1 of 3)	1419	NM_142889	42767		NM_142889		CG4374	Dmel\CG4374	CG4374	protein-coding
2L.13902627.13907313	chr2L	13902627	13907313	+	3558.98899868925	0.424279479344552	promoter-TSS (NM_165069)	promoter-TSS (NM_165069)	-309	NM_135841	34804	Dm.2100	NM_135841		Smg5	BG:DS08220.2|CG8954|Dmel\CG8954|SMG5|anon-34Ea|dSMG5|smg5	Smg5	protein-coding
2L.10963797.10971069	chr2L	10963797	10971069	+	3557.50372740731	0.241956708337374	promoter-TSS (NM_176012)	promoter-TSS (NM_176012)	-622	NM_001298893	34514	Dm.18590	NM_176009		CG33129	CG6087|CG6089|Dmel\CG33129	uncharacterized protein	protein-coding
3L.14027303.14032971	chr3L	14027303	14032971	+	3557.46502459798	0.362494891305421	3' UTR (NM_168572, exon 3 of 3)	3' UTR (NM_168572, exon 3 of 3)	-1016	NM_168571	39552	Dm.24000	NM_168571		Ptip	CG32133|CG6532|CG8797|Dmel\CG32133|PTIP|ptip	PAX transcription activation domain interacting protein	protein-coding
3R.15792053.15795649	chr3R	15792053	15795649	+	3550.0331855257	0.29480023283401	promoter-TSS (NM_001170153)	promoter-TSS (NM_001170153)	69	NM_001170153	41911	Dm.10603	NM_142235		nsl1	CG4699|Dmel\CG4699|E(nos)|NSL1|Nsl1|l(3)06536|l(3)S009413|wah	non-specific lethal 1	protein-coding
2L.19412680.19417949	chr2L	19412680	19417949	+	3549.20371439678	0.264961106165176	promoter-TSS (NM_078877)	promoter-TSS (NM_078877)	-837	NM_001259161	35215	Dm.6483	NM_078877		Pax	CG18061|CG18576|CG31794|CT40481|CT42454|DPaxillin|DPxn|DPxn37|Dmel\CG31794|Dpax|DpaxA|PDLP|dPax|pax	Paxillin	protein-coding
2L.8413636.8421929	chr2L	8413636	8421929	+	3548.78682168454	0.179092627833378	intron (NM_001298822, intron 1 of 5)	intron (NM_001298822, intron 1 of 5)	2039	NM_001298822	34170	Dm.21410	NM_058111		Akap200	AKAP200|Akap 200|BcDNA:LP02734|CG13388|DAKAP200|Dmel\CG13388|EP(2)2254|MESR2|akap200|anon-WO0118547.134|anon-WO0118547.213|dpo	A kinase anchor protein 200	protein-coding
2R.10074855.10079463	chr2R	10074855	10079463	+	3546.99146506481	0.0493170889914214	Intergenic	CpG	-1207	NM_165735	36054	Dm.13536	NM_165735		egr	BcDNA:RH51659|CG12919|Dmel\CG12919|Ect1|Egr|Regg1|TNF|TNF-alpha|TNFalpha|darth|dt1|regg1	eiger	protein-coding
3L.7854187.7860276	chr3L	7854187	7860276	+	3535.21482124165	0.282405457441489	intron (NM_001274618, intron 1 of 5)	intron (NM_001274618, intron 1 of 5)	-1683	NM_080093	45588	Dm.1594	NM_080093		Pdp1	CG17888|DM1|DM32|Dmel\CG17888|PDP|PDP1|PDP1epsilon|Pdp-1|Pdp1 epsilon|Pdp1&e;gr|Pdp1e|Pdp1epsilon|anon-WO0140519.206|mel_pdp1|pdp|pdp1|pdp1epsilon	PAR-domain protein 1	protein-coding
2R.21290366.21299037	chr2R	21290366	21299037	+	3531.75381772765	0.196124940305613	promoter-TSS (NM_001169762)	promoter-TSS (NM_001169762)	887	NM_137729	37431		NM_137729		CG9752	Dmel\CG9752	CG9752	protein-coding
3L.2148585.2153335	chr3L	2148585	2153335	+	3529.52507798712	0.705521778366229	intron (NM_001274386, intron 1 of 19)	intron (NM_001274386, intron 1 of 19)	740	NM_001274388	2769001	Dm.15849	NM_206240		zormin	BcDNA:GH09541|CG11850|CG11952|CG11953|CG1282|CG32307|CG32309|CG32310|CG32311|CG33484|CG5699|CT36990|Dmel\CG33484	zormin	protein-coding
3R.5261267.5269546	chr3R	5261267	5269546	+	3528.34803831172	0.235722365497122	promoter-TSS (NR_133327)	promoter-TSS (NR_133327)	467	NM_169037	40633	Dm.20436	NM_141268		Hph	0303/04|31543|CG1114|CG14665|CG2676|CG31543|CG44015|CR31541|Dm.egl-9|Dmel\CG44015|Dmel_CG31543|Dmel_CR31541|PHD|anon-EST:Posey69|dHPH|dPHD|dPHD2|dmHPH|fga|hph|l(3)02255|l(3)82Fe|l(3)S030304	HIF prolyl hydroxylase	protein-coding
2L.6963513.6972453	chr2L	6963513	6972453	+	3527.17553959704	0.3021961378573	promoter-TSS (NM_001316383)	promoter-TSS (NM_001316383)	-339	NM_058063	33981	Dm.6873	NM_058063		smt3	CG4494|Dm0342|DmSUMO-1|DmSmt3|Dmel\CG4494|Dmsmt3|SMT3|SUMO|Smt3|Sumo|anon-EST:Posey240|dSmt3|dsmt3|l(2)04493|l(2)SH0182|l(2)SH2 0182|sumo	smt3	protein-coding
X.5426929.5435315	chrX	5426929	5435315	+	3524.89386741573	0.676718339621841	exon (NM_131995, exon 1 of 1)	exon (NM_131995, exon 1 of 1)	557	NM_131995	31461	Dm.17689	NM_131995		CG15784	Dmel\CG15784	uncharacterized protein	protein-coding
2R.12990395.12992499	chr2R	12990395	12992499	+	3523.16136340754	0.531012890502293	Intergenic	Intergenic	-2450	NM_001032243	3772108	Dm.28760	NM_001032243		CG33798	BP1039|Dmel\CG33798	uncharacterized protein	protein-coding
3R.9777185.9786161	chr3R	9777185	9786161	+	3518.5129282737	-0.217426564093451	non-coding (NR_037757, exon 1 of 1)	non-coding (NR_037757, exon 1 of 1)	1020	NR_037757	10178807		NR_037757		CR31514	BcDNA:RE21847|Dmel\CR31514	ncRNA	ncRNA
2R.6990110.6995388	chr2R	6990110	6995388	+	3512.01163372509	0.348338686739072	promoter-TSS (NM_001169598)	promoter-TSS (NM_001169598)	68	NM_144389	59178	Dm.7096	NM_080273		Tsp42Ea	BcDNA:GH05668|BcDNA:GM15292|CG18742|CG18817|CG3364|Dm.Tsp42Ea|Dmel\CG18817|GH05668|Q9U3V4	Tetraspanin 42Ea	protein-coding
3L.1513741.1519265	chr3L	1513741	1519265	+	3511.28720509604	0.1573789218879	promoter-TSS (NM_139360)	promoter-TSS (NM_139360)	768	NM_138269	38174	Dm.18864	NM_138269		cue	CG12086|CT5570|Dmel\CG12086|ms(3)02509	cueball	protein-coding
2R.11102537.11108128	chr2R	11102537	11108128	+	3511.10794184289	0.427997895623767	intron (NM_001299374, intron 1 of 4)	intron (NM_001299374, intron 1 of 4)	1484	NM_206089	2768719	Dm.22012	NM_206089		luna	CG17326|CG33473|CG9087|DKLF|Dmel\CG33473|KLF|Klf|LUNA|lincRNA.284	luna	protein-coding
3L.1004193.1008960	chr3L	1004193	1008960	+	3509.07948417719	0.471271388839493	intron (NM_143703, intron 8 of 16)	intron (NM_143703, intron 8 of 16)	1199	NM_167849	43974	Dm.803	NM_143703		trio	0368/10|0959/14|1372/03|1386/06|BEST:LD36950|CG18214|CG9208|DTrio|Dmel\CG18214|M89|TRIO|Trio|UNC-73/Trio|dTrio|l(3)036810|l(3)6D104|l(3)S036810|l(3)S095914|l(3)S137203|l(3)S138606|l(3)S[1372/3]|l(3)S[1386/06]|l(3)trio	trio	protein-coding
3R.21347046.21351870	chr3R	21347046	21351870	+	3507.90748774873	0.35063726481136	5' UTR (NM_142710, exon 1 of 15)	5' UTR (NM_142710, exon 1 of 15)	143	NM_001300512	42531	Dm.33570	NM_142710		CG16791	Dmel\CG16791|R5_3R:17143989..17145881|anon-WO0172774.78	uncharacterized protein	protein-coding
3R.4658283.4662014	chr3R	4658283	4662014	+	3506.42163623327	0.112989925885757	TTS (NR_073980)	TTS (NR_073980)	569	NM_001259984	40583	Dm.7959	NM_141231		CG43427	CG1054|CG1055|CG14653|CG18253|CG31531|CG31534|Dmel\CG43427|Dmel_CG31531|Dmel_CG31534|anon-WO0140519.95	uncharacterized protein	protein-coding
3L.3146879.3154044	chr3L	3146879	3154044	+	3506.01395020839	0.401802378208268	exon (NM_001144408, exon 3 of 6)	exon (NM_001144408, exon 3 of 6)	1328	NM_167990	38376	Dm.4448	NM_079172		BtbVII	BTB-VII|BTBVII|BcDNA:GH07729|CG11494|CG14956|CG43365|Dmel\CG43365|Dmel_CG11494|Dmel_CG14956	BTB-protein-VII	protein-coding
